=================================================
PTK-HUIM-DFS Results: Top-10000 Patterns
Parameters: k=10000, minProb=0,7000, parallel=true
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
136    [2, 25]                                  29521.6198      1.000000       
137    [9, 52]                                  29347.3530      1.000000       
138    [31, 50]                                 29339.1193      1.000000       
139    [9, 68]                                  29153.4173      1.000000       
140    [5, 34, 46]                              29111.6791      1.000000       
141    [42, 70]                                 29078.1638      1.000000       
142    [19]                                     28920.4800      1.000000       
143    [9, 34, 50]                              28916.6558      1.000000       
144    [50, 68]                                 28887.4279      1.000000       
145    [70, 74]                                 28821.0300      1.000000       
146    [25, 34, 46]                             28734.2467      1.000000       
147    [11, 27]                                 28642.2318      1.000000       
148    [15, 19, 46]                             28613.2158      1.000000       
149    [34, 46, 54]                             28581.2229      1.000000       
150    [9, 21, 46]                              28469.5547      1.000000       
151    [15, 34, 46]                             28463.1321      1.000000       
152    [13, 50]                                 28299.5052      1.000000       
153    [2, 5]                                   28287.8940      1.000000       
154    [54, 74]                                 28279.8438      1.000000       
155    [9, 60]                                  28222.4388      1.000000       
156    [15, 52]                                 28182.4267      1.000000       
157    [9, 46, 74]                              28007.4113      1.000000       
158    [46, 50, 58]                             27975.8538      1.000000       
159    [15, 74]                                 27938.6200      1.000000       
160    [2, 11]                                  27836.1200      1.000000       
161    [19, 34, 46]                             27743.2806      1.000000       
162    [34, 46, 70]                             27710.0019      1.000000       
163    [15, 60]                                 27635.5982      1.000000       
164    [5, 54]                                  27491.0448      1.000000       
165    [58, 70]                                 27474.1144      1.000000       
166    [5, 21]                                  27323.3048      1.000000       
167    [5, 46, 50]                              27300.0045      1.000000       
168    [9, 29]                                  27189.7287      1.000000       
169    [9, 34, 70]                              27179.4154      1.000000       
170    [7, 46, 50]                              27169.0331      1.000000       
171    [34, 46, 52]                             27152.9130      1.000000       
172    [2, 27]                                  27147.6882      1.000000       
173    [51]                                     27132.8400      1.000000       
174    [48, 50]                                 26937.9876      1.000000       
175    [19, 70]                                 26891.0788      1.000000       
176    [25, 46, 50]                             26723.5481      1.000000       
177    [9, 44, 46]                              26722.2463      1.000000       
178    [34, 46, 58]                             26688.4698      1.000000       
179    [7, 34, 46]                              26686.3469      1.000000       
180    [3, 9, 46]                               26667.6157      1.000000       
181    [25, 46, 54]                             26663.5542      1.000000       
182    [46, 50, 52]                             26635.3722      1.000000       
183    [9, 46, 48]                              26463.2655      1.000000       
184    [46, 50, 54]                             26461.1211      1.000000       
