=================================================
UTKU-PSO Results: Top-50000 Patterns
Parameters: k=50000, minProb=0,7000, pop_size=20, iterations=10000
=================================================
Rank   Pattern                                  Expected Util   Exist Prob     
87     {2, 34}                                  34316.4036      1.000000       
88     {46, 51}                                 34303.3284      1.000000       
89     {15, 19}                                 34294.6876      1.000000       
90     {9, 74}                                  34208.4684      1.000000       
91     {50, 29}                                 34111.7414      1.000000       
92     {70, 5}                                  34060.0406      1.000000       
93     {9, 19}                                  34013.4501      1.000000       
94     {46, 50, 9}                              33674.2212      1.000000       
95     {2, 54}                                  33410.7648      1.000000       
96     {46, 9, 54}                              33400.8009      1.000000       
97     {46, 1}                                  33228.0176      1.000000       
98     {46, 9, 5}                               33009.1494      1.000000       
99     {15, 5}                                  32936.3533      1.000000       
100    {46, 39}                                 32893.9425      1.000000       
101    {21, 27}                                 32775.6330      1.000000       
102    {54, 27}                                 32764.0920      1.000000       
103    {46, 62}                                 32742.2628      1.000000       
104    {39}                                     32520.4200      1.000000       
105    {54, 11}                                 32417.8668      1.000000       
106    {46, 9, 58}                              32388.5004      1.000000       
107    {70, 25}                                 32370.6136      1.000000       
108    {46, 9, 25}                              32290.0548      1.000000       
109    {15, 7}                                  32074.3366      1.000000       
110    {9, 58}                                  32065.3535      1.000000       
111    {46, 9, 52}                              31974.1343      1.000000       
112    {50, 19}                                 31830.6846      1.000000       
113    {46, 9, 19}                              31809.3797      1.000000       
114    {21, 11}                                 31595.0480      1.000000       
115    {46, 9, 29}                              31515.0083      1.000000       
116    {9, 13}                                  31461.9906      1.000000       
117    {46, 9, 70}                              31078.7900      1.000000       
118    {46, 9, 7}                               31068.1242      1.000000       
119    {11, 34}                                 31034.5688      1.000000       
120    {54, 25}                                 30790.3249      1.000000       
121    {46, 9, 60}                              30752.5690      1.000000       
122    {15, 42}                                 30651.0195      1.000000       
123    {21, 25}                                 30558.7312      1.000000       
124    {50, 44}                                 30545.1706      1.000000       
125    {46, 9, 42}                              30435.7460      1.000000       
126    {15, 2}                                  30430.6103      1.000000       
127    {27, 34}                                 30392.1438      1.000000       
128    {70, 7}                                  30346.0808      1.000000       
129    {46, 9, 15}                              30206.9483      1.000000       
130    {46, 9, 11}                              30094.2240      1.000000       
131    {46, 50, 34}                             29982.4855      1.000000       
132    {15, 58}                                 29973.3967      1.000000       
133    {46, 9, 27}                              29872.5461      1.000000       
134    {50, 3}                                  29841.3950      1.000000       
135    {70, 27}                                 29655.5798      1.000000       
136    {2, 25}                                  29521.6198      1.000000       
137    {9, 52}                                  29347.3530      1.000000       
138    {50, 31}                                 29339.1193      1.000000       
139    {9, 68}                                  29153.4173      1.000000       
140    {46, 34, 5}                              29111.6791      1.000000       
141    {70, 42}                                 29078.1638      1.000000       
142    {19}                                     28920.4800      1.000000       
143    {50, 9, 34}                              28916.6558      1.000000       
144    {50, 68}                                 28887.4279      1.000000       
145    {70, 74}                                 28821.0300      1.000000       
146    {46, 34, 25}                             28734.2467      1.000000       
147    {11, 27}                                 28642.2318      1.000000       
148    {46, 15, 19}                             28613.2158      1.000000       
149    {46, 54, 34}                             28581.2229      1.000000       
150    {46, 9, 21}                              28469.5547      1.000000       
151    {46, 15, 34}                             28463.1321      1.000000       
152    {50, 13}                                 28299.5052      1.000000       
153    {2, 5}                                   28287.8940      1.000000       
154    {54, 74}                                 28279.8438      1.000000       
155    {9, 60}                                  28222.4388      1.000000       
156    {15, 52}                                 28182.4267      1.000000       
157    {46, 9, 74}                              28007.4113      1.000000       
158    {46, 50, 58}                             27975.8538      1.000000       
159    {15, 74}                                 27938.6200      1.000000       
160    {2, 11}                                  27836.1200      1.000000       
161    {46, 34, 19}                             27743.2806      1.000000       
162    {46, 70, 34}                             27710.0019      1.000000       
163    {15, 60}                                 27635.5982      1.000000       
164    {54, 5}                                  27491.0448      1.000000       
165    {70, 58}                                 27474.1144      1.000000       
166    {21, 5}                                  27323.3048      1.000000       
167    {46, 50, 5}                              27300.0045      1.000000       
168    {9, 29}                                  27189.7287      1.000000       
169    {9, 70, 34}                              27179.4154      1.000000       
170    {46, 50, 7}                              27169.0331      1.000000       
171    {46, 34, 52}                             27152.9130      1.000000       
172    {2, 27}                                  27147.6882      1.000000       
173    {51}                                     27132.8400      1.000000       
174    {50, 48}                                 26937.9876      1.000000       
175    {70, 19}                                 26891.0788      1.000000       
176    {46, 50, 25}                             26723.5481      1.000000       
177    {46, 9, 44}                              26722.2463      1.000000       
178    {46, 34, 58}                             26688.4698      1.000000       
179    {46, 34, 7}                              26686.3469      1.000000       
180    {46, 9, 3}                               26667.6157      1.000000       
181    {46, 54, 25}                             26663.5542      1.000000       
182    {46, 50, 52}                             26635.3722      1.000000       
183    {46, 9, 48}                              26463.2655      1.000000       
184    {46, 50, 54}                             26461.1211      1.000000       
185    {46, 15, 11}                             26444.1268      1.000000       
186    {46, 21, 34}                             26374.5770      1.000000       
187    {46, 9, 2}                               26352.7439      1.000000       
188    {70, 52}                                 26138.0988      1.000000       
189    {9, 71}                                  26060.0285      1.000000       
190    {46, 54, 5}                              25997.2997      1.000000       
191    {9, 44}                                  25890.6580      1.000000       
192    {2, 7}                                   25862.0656      1.000000       
193    {2, 42}                                  25857.3766      1.000000       
194    {15, 29}                                 25826.2529      1.000000       
195    {46, 27, 34}                             25822.8320      1.000000       
196    {46, 34, 42}                             25788.3990      1.000000       
197    {46, 16}                                 25653.4088      1.000000       
198    {46, 50, 29}                             25641.8737      1.000000       
199    {15, 13}                                 25526.9023      1.000000       
200    {46, 11, 34}                             25454.9409      1.000000       
201    {2, 58}                                  25427.8616      1.000000       
202    {46, 50, 60}                             25381.0064      1.000000       
203    {46, 14}                                 25350.0216      1.000000       
204    {34, 25}                                 25334.3383      1.000000       
205    {46, 9, 66}                              25261.5022      1.000000       
206    {9, 15, 34}                              25237.7045      1.000000       
207    {21, 74}                                 25235.3159      1.000000       
208    {46, 15, 52}                             25194.9379      1.000000       
209    {70, 60}                                 25170.9188      1.000000       
210    {46, 15, 25}                             25164.1952      1.000000       
211    {46, 54, 58}                             25151.2734      1.000000       
212    {15, 68}                                 25117.6365      1.000000       
213    {46, 34, 60}                             25095.9171      1.000000       
214    {46, 9, 31}                              25051.2492      1.000000       
215    {46, 69}                                 25045.9442      1.000000       
216    {46, 15, 7}                              24994.3718      1.000000       
217    {46, 15, 5}                              24962.2373      1.000000       
218    {50, 9, 70}                              24948.3741      1.000000       
219    {46, 15, 58}                             24945.8907      1.000000       
220    {50, 9, 5}                               24940.2472      1.000000       
221    {2, 44}                                  24917.9796      1.000000       
222    {2, 21}                                  24860.8971      1.000000       
223    {46, 34, 29}                             24836.5360      1.000000       
224    {50, 9, 58}                              24830.6989      1.000000       
225    {46, 54, 52}                             24820.2638      1.000000       
226    {21, 19}                                 24813.0583      1.000000       
227    {46, 54, 74}                             24694.3632      1.000000       
228    {46, 70, 5}                              24692.0279      1.000000       
229    {2, 74}                                  24680.4522      1.000000       
230    {9, 21, 34}                              24679.6754      1.000000       
231    {50, 17}                                 24641.0058      1.000000       
232    {46, 54, 29}                             24572.4578      1.000000       
233    {13}                                     24551.7600      1.000000       
234    {50, 9, 7}                               24469.2958      1.000000       
235    {25}                                     24423.7000      1.000000       
236    {54, 19}                                 24414.0192      1.000000       
237    {46, 15, 29}                             24412.9314      1.000000       
238    {9, 31}                                  24347.2474      1.000000       
239    {46, 25, 5}                              24346.1604      1.000000       
240    {15, 3}                                  24332.6430      1.000000       
241    {46, 50, 70}                             24328.6676      1.000000       
242    {27, 25}                                 24293.9059      1.000000       
243    {21, 42}                                 24267.0143      1.000000       
244    {46, 15, 60}                             24245.2804      1.000000       
245    {21, 7}                                  24218.7805      1.000000       
246    {2, 52}                                  24193.1514      1.000000       
247    {70, 29}                                 24190.5248      1.000000       
248    {70, 68}                                 24149.3044      1.000000       
249    {46, 50, 19}                             24143.5278      1.000000       
250    {50, 9, 54}                              24112.4478      1.000000       
251    {46, 50, 42}                             24084.8332      1.000000       
252    {46, 54, 7}                              24053.7220      1.000000       
253    {50, 9, 25}                              24042.3132      1.000000       
254    {46, 9, 68}                              23987.8235      1.000000       
255    {15, 17}                                 23959.1229      1.000000       
256    {46, 50, 15}                             23950.2394      1.000000       
257    {46, 21, 19}                             23931.3894      1.000000       
258    {46, 9, 17}                              23912.6678      1.000000       
259    {46, 21, 25}                             23857.1967      1.000000       
260    {9, 54, 34}                              23852.7706      1.000000       
261    {11, 25}                                 23804.8314      1.000000       
262    {46, 9, 62}                              23789.6172      1.000000       
263    {46, 27, 25}                             23773.3624      1.000000       
264    {46, 70, 7}                              23770.6388      1.000000       
265    {46, 19, 25}                             23769.6780      1.000000       
266    {46, 15, 42}                             23767.0123      1.000000       
267    {50, 70, 34}                             23700.8829      1.000000       
268    {50, 66}                                 23641.4016      1.000000       
269    {46, 54, 19}                             23612.8481      1.000000       
270    {9, 3}                                   23545.7751      1.000000       
271    {9, 15, 11}                              23491.5833      1.000000       
272    {46, 34, 74}                             23466.1079      1.000000       
273    {46, 54, 11}                             23463.1112      1.000000       
274    {46, 54, 60}                             23454.1407      1.000000       
275    {46, 54, 27}                             23420.1350      1.000000       
276    {9, 51}                                  23377.3812      1.000000       
277    {54, 7}                                  23376.6024      1.000000       
278    {46, 25, 58}                             23323.3276      1.000000       
279    {50, 9, 52}                              23306.8706      1.000000       
280    {46, 15, 27}                             23293.8315      1.000000       
281    {2, 29}                                  23261.8984      1.000000       
282    {46, 25, 52}                             23191.9055      1.000000       
283    {46, 15, 70}                             23191.3589      1.000000       
284    {46, 70, 58}                             23166.4528      1.000000       
285    {9, 39}                                  23118.2289      1.000000       
286    {46, 70, 52}                             23030.6486      1.000000       
287    {15, 1}                                  23010.0985      1.000000       
288    {46, 70, 19}                             22997.9749      1.000000       
289    {15, 31}                                 22970.3810      1.000000       
290    {46, 2, 34}                              22950.3157      1.000000       
291    {46, 15, 54}                             22942.3490      1.000000       
292    {46, 50, 27}                             22904.8894      1.000000       
293    {50, 9, 15}                              22895.5587      1.000000       
294    {50, 9, 29}                              22882.6787      1.000000       
295    {46, 21, 5}                              22832.8919      1.000000       
296    {50, 9, 60}                              22820.3809      1.000000       
297    {46, 70, 29}                             22795.9546      1.000000       
298    {50, 71}                                 22786.7570      1.000000       
299    {9, 1}                                   22767.7050      1.000000       
300    {46, 50, 3}                              22749.6782      1.000000       
301    {21, 71}                                 22749.3833      1.000000       
302    {2, 60}                                  22748.0754      1.000000       
303    {46, 27, 58}                             22745.4273      1.000000       
304    {54, 13}                                 22743.8724      1.000000       
305    {46, 19, 5}                              22741.0022      1.000000       
306    {46, 27, 5}                              22739.3634      1.000000       
307    {46, 15, 21}                             22694.7132      1.000000       
308    {46, 25, 7}                              22694.3861      1.000000       
309    {46, 25, 42}                             22682.2238      1.000000       
310    {46, 27, 19}                             22647.4133      1.000000       
311    {9, 70, 5}                               22647.3821      1.000000       
312    {70, 13}                                 22644.1852      1.000000       
313    {46, 11, 19}                             22606.3115      1.000000       
314    {50, 1}                                  22548.2087      1.000000       
315    {46, 21, 54}                             22533.7678      1.000000       
316    {46, 5, 58}                              22532.0100      1.000000       
317    {46, 73}                                 22500.6186      1.000000       
318    {46, 21, 58}                             22488.3802      1.000000       
319    {70, 44}                                 22477.9168      1.000000       
320    {9, 15, 70}                              22463.6091      1.000000       
321    {46, 15, 17}                             22450.2973      1.000000       
322    {46, 70, 42}                             22439.4717      1.000000       
323    {46, 70, 25}                             22423.4418      1.000000       
324    {46, 9, 13}                              22396.9497      1.000000       
325    {46, 70, 54}                             22363.6391      1.000000       
326    {46, 21, 52}                             22359.2546      1.000000       
327    {46, 19, 52}                             22348.8537      1.000000       
328    {46, 27, 7}                              22297.6258      1.000000       
329    {27, 71}                                 22297.3412      1.000000       
330    {34, 19}                                 22276.4712      1.000000       
331    {54, 42}                                 22240.8404      1.000000       
332    {71, 39}                                 22226.0138      1.000000       
333    {2, 13}                                  22219.7640      1.000000       
334    {11, 19}                                 22210.9516      1.000000       
335    {46, 19, 7}                              22192.6232      1.000000       
336    {46, 5, 7}                               22172.6502      1.000000       
337    {46, 19, 58}                             22138.9083      1.000000       
338    {46, 54, 44}                             22079.0351      1.000000       
339    {46, 50, 74}                             22078.1946      1.000000       
340    {46, 2, 58}                              22070.0960      1.000000       
341    {46, 23}                                 22060.8624      1.000000       
342    {46, 34, 44}                             22036.9472      1.000000       
343    {46, 34, 3}                              22033.3614      1.000000       
344    {46, 21, 7}                              22016.6593      1.000000       
345    {46, 50, 48}                             21984.3209      1.000000       
346    {9, 34, 5}                               21983.6537      1.000000       
347    {46, 11, 25}                             21964.7075      1.000000       
348    {21, 58}                                 21943.5403      1.000000       
349    {70, 31}                                 21937.7600      1.000000       
350    {46, 5, 52}                              21934.5452      1.000000       
351    {46, 27, 52}                             21934.4095      1.000000       
352    {54, 58}                                 21921.9744      1.000000       
353    {9, 11, 34}                              21921.8643      1.000000       
354    {50, 9, 42}                              21917.3776      1.000000       
355    {46, 25, 60}                             21916.7570      1.000000       
356    {46, 2, 52}                              21892.9496      1.000000       
357    {46, 54, 42}                             21880.6105      1.000000       
358    {9, 34, 25}                              21853.3055      1.000000       
359    {46, 50, 44}                             21831.7572      1.000000       
360    {50, 9, 27}                              21825.3196      1.000000       
361    {46, 15, 3}                              21789.2111      1.000000       
362    {46, 5, 42}                              21781.1772      1.000000       
363    {46, 11, 58}                             21778.0595      1.000000       
364    {15, 51}                                 21776.0057      1.000000       
365    {46, 11, 5}                              21766.6433      1.000000       
366    {46, 21, 27}                             21766.2507      1.000000       
367    {46, 11, 27}                             21758.1587      1.000000       
368    {21, 68}                                 21750.5300      1.000000       
369    {46, 2, 54}                              21728.8395      1.000000       
370    {15, 44}                                 21700.9314      1.000000       
371    {50, 9, 11}                              21688.9530      1.000000       
372    {46, 50, 66}                             21665.4460      1.000000       
373    {46, 2, 5}                               21607.8809      1.000000       
374    {46, 25, 29}                             21598.3775      1.000000       
375    {46, 25, 74}                             21597.5602      1.000000       
376    {15, 39}                                 21578.5935      1.000000       
377    {50, 15, 34}                             21564.4002      1.000000       
378    {70, 3}                                  21559.4216      1.000000       
379    {9, 15, 21}                              21557.3117      1.000000       
380    {46, 19, 29}                             21550.5766      1.000000       
381    {15, 70, 34}                             21533.7438      1.000000       
382    {46, 21, 42}                             21493.9549      1.000000       
383    {34, 5}                                  21485.3877      1.000000       
384    {46, 27, 29}                             21485.0812      1.000000       
385    {54, 71}                                 21481.8636      1.000000       
386    {54, 68}                                 21459.6657      1.000000       
387    {46, 2, 44}                              21458.2778      1.000000       
388    {15, 71}                                 21420.9037      1.000000       
389    {46, 27, 60}                             21408.0685      1.000000       
390    {46, 2, 25}                              21396.7993      1.000000       
391    {46, 50, 2}                              21385.7142      1.000000       
392    {46, 2, 29}                              21379.7735      1.000000       
393    {9, 70, 7}                               21371.3627      1.000000       
394    {9, 70, 54}                              21361.2778      1.000000       
395    {2, 19}                                  21337.1052      1.000000       
396    {46, 11, 52}                             21319.8547      1.000000       
397    {46, 19, 42}                             21316.7586      1.000000       
398    {46, 70, 60}                             21282.3063      1.000000       
399    {46, 50, 11}                             21277.8375      1.000000       
400    {46, 34, 48}                             21270.4894      1.000000       
401    {50, 9, 21}                              21254.2429      1.000000       
402    {46, 74, 5}                              21243.6894      1.000000       
403    {46, 70, 11}                             21236.5829      1.000000       
404    {46, 21, 60}                             21231.8537      1.000000       
405    {9, 70, 11}                              21228.9522      1.000000       
406    {46, 11, 7}                              21095.6623      1.000000       
407    {9, 27, 34}                              21092.5551      1.000000       
408    {46, 70, 74}                             21091.1219      1.000000       
409    {11, 5}                                  21080.1883      1.000000       
410    {50, 62}                                 21066.2214      1.000000       
411    {46, 50, 62}                             21026.6226      1.000000       
412    {46, 7, 58}                              21022.3146      1.000000       
413    {50, 34, 5}                              21003.2374      1.000000       
414    {46, 50, 31}                             20985.7860      1.000000       
415    {46, 5, 60}                              20964.7905      1.000000       
416    {27, 39}                                 20937.0591      1.000000       
417    {9, 70, 21}                              20935.0358      1.000000       
418    {27, 19}                                 20924.6880      1.000000       
419    {46, 34, 31}                             20891.4420      1.000000       
420    {46, 21, 29}                             20863.1826      1.000000       
421    {46, 11, 29}                             20815.5911      1.000000       
422    {50, 70, 5}                              20814.6693      1.000000       
423    {2, 31}                                  20801.8925      1.000000       
424    {50, 34, 7}                              20782.7899      1.000000       
425    {46, 19, 60}                             20772.1595      1.000000       
426    {50, 54, 34}                             20765.6265      1.000000       
427    {46, 15, 48}                             20737.2452      1.000000       
428    {46, 19, 17}                             20715.9574      1.000000       
429    {46, 5, 29}                              20701.5658      1.000000       
430    {50, 34, 25}                             20696.2538      1.000000       
431    {46, 70, 2}                              20663.6010      1.000000       
432    {9, 15, 7}                               20660.4644      1.000000       
433    {27, 5}                                  20534.2395      1.000000       
434    {46, 2, 7}                               20504.5983      1.000000       
435    {9, 54, 25}                              20481.6907      1.000000       
436    {46, 38}                                 20462.9592      1.000000       
437    {9, 21, 54}                              20460.0664      1.000000       
438    {46, 11, 60}                             20418.6984      1.000000       
439    {11, 74}                                 20408.2604      1.000000       
440    {15, 48}                                 20348.3146      1.000000       
441    {21, 52}                                 20319.5521      1.000000       
442    {9, 70, 58}                              20300.6107      1.000000       
443    {46, 7, 52}                              20297.4521      1.000000       
444    {46, 42, 58}                             20271.4761      1.000000       
445    {46, 34, 68}                             20238.0500      1.000000       
446    {21, 1}                                  20220.7520      1.000000       
447    {21, 13}                                 20191.5847      1.000000       
448    {50, 9, 2}                               20180.3003      1.000000       
449    {46, 58, 52}                             20162.6502      1.000000       
450    {46, 15, 66}                             20147.7672      1.000000       
451    {50, 9, 74}                              20137.9751      1.000000       
452    {9, 54, 5}                               20130.8862      1.000000       
453    {46, 21, 11}                             20124.0187      1.000000       
454    {46, 2, 60}                              20118.5888      1.000000       
455    {15, 11, 34}                             20110.4025      1.000000       
456    {9, 15, 58}                              20104.5905      1.000000       
457    {46, 54, 48}                             20094.5806      1.000000       
458    {46, 50, 21}                             20073.5269      1.000000       
459    {34, 71}                                 20068.8668      1.000000       
460    {46, 2, 42}                              20068.6219      1.000000       
461    {9, 15, 25}                              20050.7998      1.000000       
462    {15, 21, 34}                             20037.3546      1.000000       
463    {9, 70, 25}                              20030.4222      1.000000       
464    {46, 11, 74}                             20015.8899      1.000000       
465    {9, 34, 7}                               19986.7933      1.000000       
466    {9, 21, 25}                              19980.5899      1.000000       
467    {50, 34, 58}                             19972.8070      1.000000       
468    {46, 42, 7}                              19954.7273      1.000000       
469    {46, 19, 74}                             19950.8501      1.000000       
470    {9, 70, 52}                              19913.2778      1.000000       
471    {50, 9, 3}                               19910.0170      1.000000       
472    {46, 27, 42}                             19873.2749      1.000000       
473    {34, 74}                                 19852.8246      1.000000       
474    {50, 70, 7}                              19803.6309      1.000000       
475    {9, 54, 74}                              19801.3058      1.000000       
476    {46, 15, 31}                             19779.7897      1.000000       
477    {9, 17}                                  19771.0425      1.000000       
478    {46, 70, 3}                              19724.7346      1.000000       
479    {46, 15, 74}                             19690.0955      1.000000       
480    {9, 70, 42}                              19684.7914      1.000000       
481    {9, 21, 5}                               19655.6779      1.000000       
482    {9, 15, 5}                               19650.2838      1.000000       
483    {54, 52}                                 19639.9950      1.000000       
484    {46, 42, 52}                             19624.2670      1.000000       
485    {9, 15, 54}                              19603.0928      1.000000       
486    {9, 54, 27}                              19580.7344      1.000000       
487    {46, 21, 74}                             19553.2061      1.000000       
488    {50, 21, 34}                             19544.7171      1.000000       
489    {46, 11, 42}                             19508.8137      1.000000       
490    {34, 13}                                 19490.6556      1.000000       
491    {9, 2, 34}                               19490.1428      1.000000       
492    {9, 70, 29}                              19451.8549      1.000000       
493    {9, 15, 27}                              19442.5993      1.000000       
494    {46, 21, 44}                             19435.4784      1.000000       
495    {46, 25, 44}                             19390.1261      1.000000       
496    {9, 34, 42}                              19375.4492      1.000000       
497    {46, 34, 66}                             19365.0966      1.000000       
498    {9, 21, 27}                              19358.4794      1.000000       
499    {9, 48}                                  19350.0132      1.000000       
500    {70, 17}                                 19348.1311      1.000000       
501    {54, 60}                                 19305.5964      1.000000       
502    {21, 51}                                 19299.4537      1.000000       
503    {9, 54, 11}                              19284.7394      1.000000       
504    {50, 9, 44}                              19280.5497      1.000000       
505    {9, 15, 52}                              19273.5488      1.000000       
506    {46, 34, 17}                             19263.6764      1.000000       
507    {2, 3}                                   19213.3952      1.000000       
508    {46, 54, 66}                             19211.5155      1.000000       
509    {46, 74, 7}                              19164.6839      1.000000       
510    {46, 27, 74}                             19145.2670      1.000000       
511    {46, 7, 60}                              19141.1879      1.000000       
512    {50, 70, 58}                             19135.2005      1.000000       
513    {21, 39}                                 19132.1188      1.000000       
514    {21, 60}                                 19116.4436      1.000000       
515    {46, 70, 44}                             19096.1238      1.000000       
516    {70, 34, 5}                              19094.3059      1.000000       
517    {46, 7, 29}                              19083.6238      1.000000       
518    {46, 74, 58}                             19081.1815      1.000000       
519    {9, 34, 58}                              19075.3247      1.000000       
520    {9, 70, 60}                              19059.4122      1.000000       
521    {46, 58, 29}                             19057.5067      1.000000       
522    {50, 15, 70}                             19051.8124      1.000000       
523    {46, 74, 52}                             19042.3501      1.000000       
524    {70, 21, 34}                             19037.6188      1.000000       
525    {71, 25}                                 19027.1543      1.000000       
526    {50, 9, 48}                              18992.5320      1.000000       
527    {46, 2, 74}                              18968.9383      1.000000       
528    {9, 15, 42}                              18965.6697      1.000000       
529    {46, 58, 60}                             18954.6919      1.000000       
530    {50, 34, 52}                             18941.3027      1.000000       
531    {9, 15, 60}                              18933.9641      1.000000       
532    {50, 70, 54}                             18851.2031      1.000000       
533    {9, 15, 19}                              18785.6643      1.000000       
534    {46, 42, 60}                             18785.5240      1.000000       
535    {9, 21, 11}                              18777.1895      1.000000       
536    {46, 50, 17}                             18769.4671      1.000000       
537    {50, 15, 7}                              18759.1225      1.000000       
538    {27, 74}                                 18722.7204      1.000000       
539    {46, 2, 11}                              18710.9033      1.000000       
540    {46, 15, 44}                             18698.3794      1.000000       
541    {46, 42, 29}                             18684.2471      1.000000       
542    {50, 15, 58}                             18678.7499      1.000000       
543    {50, 9, 66}                              18666.9939      1.000000       
544    {46, 28}                                 18660.2642      1.000000       
545    {9, 15, 29}                              18655.0355      1.000000       
546    {50, 70, 52}                             18627.9271      1.000000       
547    {54, 44}                                 18611.9652      1.000000       
548    {46, 54, 68}                             18607.3551      1.000000       
549    {9, 70, 74}                              18604.5471      1.000000       
550    {73}                                     18600.4800      1.000000       
551    {46, 54, 3}                              18556.1684      1.000000       
552    {50, 9, 31}                              18549.7832      1.000000       
553    {46, 70, 17}                             18545.8816      1.000000       
554    {9, 54, 58}                              18533.2215      1.000000       
555    {9, 21, 7}                               18496.9975      1.000000       
556    {46, 52, 29}                             18494.9668      1.000000       
557    {46, 60, 52}                             18449.5218      1.000000       
558    {50, 34, 42}                             18448.1621      1.000000       
559    {21, 44}                                 18446.3121      1.000000       
560    {70, 54, 34}                             18426.0845      1.000000       
561    {46, 5, 44}                              18423.7445      1.000000       
